exp_log_id,documentid,querysessionstatus,rank,time_stamp,type,participant_participant_id,query_id,querysession_session_id,username,task_id
223,,0,0,2017-03-15 20:00:11.957,QUERY_SUBMISSION,101,108,104,andrea,TRVL-BT
224,clueweb12-0109wb-48-23382,0,1,2017-03-15 20:00:23.829,OPEN_DOCUMENT,101,108,104,andrea,TRVL-BT
225,clueweb12-0109wb-48-23382,0,,2017-03-15 20:02:04.646,BOOKMARK,101,108,104,andrea,TRVL-BT
226,clueweb12-0109wb-48-23382,0,1,2017-03-15 20:02:05.465,CLOSE_DOCUMENT,101,108,104,andrea,TRVL-BT
228,clueweb12-0104wb-23-04808,0,2,2017-03-15 20:02:09.83,OPEN_DOCUMENT,101,108,104,andrea,TRVL-BT
229,clueweb12-0104wb-23-04808,0,2,2017-03-15 20:04:05.182,CLOSE_DOCUMENT,101,108,104,andrea,TRVL-BT
231,clueweb12-0110wb-02-02143,0,5,2017-03-15 20:04:09.947,OPEN_DOCUMENT,101,108,104,andrea,TRVL-BT
232,clueweb12-0110wb-02-02143,0,5,2017-03-15 20:04:21.458,CLOSE_DOCUMENT,101,108,104,andrea,TRVL-BT
234,clueweb12-0109wb-97-22455,0,3,2017-03-15 20:04:56.697,OPEN_DOCUMENT,101,108,104,andrea,TRVL-BT
235,clueweb12-0109wb-97-22455,0,3,2017-03-15 20:04:59.303,CLOSE_DOCUMENT,101,108,104,andrea,TRVL-BT
238,clueweb12-0109wb-31-15155,0,10,2017-03-15 20:05:08.859,OPEN_DOCUMENT,101,108,104,andrea,TRVL-BT
239,clueweb12-0109wb-31-15155,0,10,2017-03-15 20:05:13.337,CLOSE_DOCUMENT,101,108,104,andrea,TRVL-BT
242,clueweb12-0109wb-97-22455,0,3,2017-03-15 20:05:24.723,OPEN_DOCUMENT,101,108,104,andrea,TRVL-BT
243,clueweb12-0109wb-97-22455,0,3,2017-03-15 20:05:27.761,CLOSE_DOCUMENT,101,108,104,andrea,TRVL-BT
245,clueweb12-0109wb-48-23382,0,1,2017-03-15 20:05:29.961,OPEN_DOCUMENT,101,108,104,andrea,TRVL-BT
246,clueweb12-0109wb-48-23382,0,1,2017-03-15 20:05:31.46,CLOSE_DOCUMENT,101,108,104,andrea,TRVL-BT
248,clueweb12-0109wb-58-19639,0,0,2017-03-15 20:05:34.062,OPEN_DOCUMENT,101,108,104,andrea,TRVL-BT
249,clueweb12-0109wb-58-19639,0,0,2017-03-15 20:05:53.008,CLOSE_DOCUMENT,101,108,104,andrea,TRVL-BT
251,clueweb12-0109wb-58-19639,0,0,2017-03-15 20:05:56.064,OPEN_DOCUMENT,101,108,104,andrea,TRVL-BT
252,clueweb12-0109wb-58-19639,0,,2017-03-15 20:05:57.871,BOOKMARK,101,108,104,andrea,TRVL-BT
255,,0,0,2017-03-15 20:06:53.607,QUERY_SUBMISSION,101,109,104,andrea,TRVL-BT
256,clueweb12-0111wb-69-31859,0,0,2017-03-15 20:06:59.706,OPEN_DOCUMENT,101,109,104,andrea,TRVL-BT
257,clueweb12-0111wb-69-31859,0,0,2017-03-15 20:07:48.517,CLOSE_DOCUMENT,101,109,104,andrea,TRVL-BT
259,clueweb12-0013wb-30-13331,0,1,2017-03-15 20:07:55.658,OPEN_DOCUMENT,101,109,104,andrea,TRVL-BT
260,clueweb12-0013wb-30-13331,0,,2017-03-15 20:08:10.469,BOOKMARK,101,109,104,andrea,TRVL-BT
261,clueweb12-0013wb-30-13331,0,1,2017-03-15 20:08:12.345,CLOSE_DOCUMENT,101,109,104,andrea,TRVL-BT
263,,0,0,2017-03-15 20:11:05.583,QUERY_SUBMISSION,101,110,104,andrea,TRVL-BT
264,clueweb12-0007wb-51-16427,0,0,2017-03-15 20:11:20.17,OPEN_DOCUMENT,101,110,104,andrea,TRVL-BT
265,clueweb12-0007wb-51-16427,0,0,2017-03-15 20:11:38.183,CLOSE_DOCUMENT,101,110,104,andrea,TRVL-BT
267,clueweb12-0100wb-73-20097,0,2,2017-03-15 20:11:42.334,OPEN_DOCUMENT,101,110,104,andrea,TRVL-BT
268,clueweb12-0100wb-73-20097,0,2,2017-03-15 20:11:48.733,CLOSE_DOCUMENT,101,110,104,andrea,TRVL-BT
270,clueweb12-0011wb-01-24931,0,4,2017-03-15 20:12:06.018,OPEN_DOCUMENT,101,110,104,andrea,TRVL-BT
271,clueweb12-0011wb-01-24931,0,4,2017-03-15 20:12:09.011,CLOSE_DOCUMENT,101,110,104,andrea,TRVL-BT
273,clueweb12-0107wb-33-23679,0,9,2017-03-15 20:12:12.802,OPEN_DOCUMENT,101,110,104,andrea,TRVL-BT
276,,0,0,2017-03-15 20:12:51.526,QUERY_SUBMISSION,101,111,104,andrea,TRVL-BT
277,clueweb12-0103wb-93-30134,0,0,2017-03-15 20:12:53.954,OPEN_DOCUMENT,101,111,104,andrea,TRVL-BT
278,clueweb12-0103wb-93-30134,0,,2017-03-15 20:12:57.505,BOOKMARK,101,111,104,andrea,TRVL-BT
279,clueweb12-0103wb-93-30134,0,0,2017-03-15 20:12:58.54,CLOSE_DOCUMENT,101,111,104,andrea,TRVL-BT
281,clueweb12-0104wb-90-28258,0,1,2017-03-15 20:13:05.055,OPEN_DOCUMENT,101,111,104,andrea,TRVL-BT
282,clueweb12-0104wb-90-28258,0,1,2017-03-15 20:14:43.044,CLOSE_DOCUMENT,101,111,104,andrea,TRVL-BT
284,clueweb12-0105wb-68-03335,0,3,2017-03-15 20:14:48.733,OPEN_DOCUMENT,101,111,104,andrea,TRVL-BT
285,clueweb12-0105wb-68-03335,0,3,2017-03-15 20:15:04.437,CLOSE_DOCUMENT,101,111,104,andrea,TRVL-BT
287,,0,0,2017-03-15 20:16:45.228,QUERY_SUBMISSION,101,112,104,andrea,TRVL-BT
